文件名: ./emb_a40b15.npy, TC = 0.5775, TD = 0.7056
文件名: ./emb_a5b30.npy, TC = 0.5176, TD = 0.6143
文件名: ./emb_a40b50.npy, TC = 0.5744, TD = 0.6800
文件名: ./emb_a70b5.npy, TC = 0.5731, TD = 0.6792
文件名: ./emb_a60b45.npy, TC = 0.5641, TD = 0.6400
文件名: ./emb_a65b20.npy, TC = 0.5512, TD = 0.6529
文件名: ./emb_a40b10.npy, TC = 0.5729, TD = 0.6611
文件名: ./emb_a40b55.npy, TC = 0.5880, TD = 0.6917
文件名: ./emb_a5b10.npy, TC = 0.5002, TD = 0.5429
文件名: ./emb_a75b90.npy, TC = 0.5402, TD = 0.6353
文件名: ./emb_a45b5.npy, TC = 0.5794, TD = 0.6800
文件名: ./emb_a10b60.npy, TC = 0.5380, TD = 0.6533
文件名: ./emb_a80b70.npy, TC = 0.5685, TD = 0.6722
文件名: ./emb_a65b30.npy, TC = 0.5814, TD = 0.6636
文件名: ./emb_a25b70.npy, TC = 0.5433, TD = 0.6304
文件名: ./emb_a15b50.npy, TC = 0.5556, TD = 0.6250
文件名: ./emb_a75b15.npy, TC = 0.5597, TD = 0.6615
文件名: ./emb_a5b85.npy, TC = 0.5276, TD = 0.5800
文件名: ./emb_a80b35.npy, TC = 0.5619, TD = 0.6464
文件名: ./emb_a75b10.npy, TC = 0.5587, TD = 0.6609
文件名: ./emb_a35b20.npy, TC = 0.5740, TD = 0.7000
文件名: ./emb_a85b80.npy, TC = 0.5587, TD = 0.6542
文件名: ./emb_a70b50.npy, TC = 0.5698, TD = 0.6593
文件名: ./emb_a95b5.npy, TC = 0.5541, TD = 0.6636
文件名: ./emb_a35b70.npy, TC = 0.5402, TD = 0.6182
文件名: ./emb_a65b10.npy, TC = 0.5678, TD = 0.6704
文件名: ./emb_a60b15.npy, TC = 0.5593, TD = 0.6348
文件名: ./emb_a80b20.npy, TC = 0.5682, TD = 0.6500
文件名: ./emb_a40b90.npy, TC = 0.5583, TD = 0.6417
文件名: ./emb_a15b30.npy, TC = 0.5629, TD = 0.6571
文件名: ./emb_a35b50.npy, TC = 0.5783, TD = 0.6684
文件名: ./emb_a95b60.npy, TC = 0.5690, TD = 0.6423
文件名: ./emb_a20b65.npy, TC = 0.5718, TD = 0.6292
文件名: ./emb_a70b65.npy, TC = 0.5657, TD = 0.6421
文件名: ./emb_a25b15.npy, TC = 0.5926, TD = 0.6920
文件名: ./emb_a45b25.npy, TC = 0.5668, TD = 0.6600
文件名: ./emb_a15b80.npy, TC = 0.5716, TD = 0.6174
文件名: ./emb_a50b15.npy, TC = 0.5844, TD = 0.6870
文件名: ./emb_a95b15.npy, TC = 0.5437, TD = 0.6652
文件名: ./emb_a80b80.npy, TC = 0.5674, TD = 0.6478
文件名: ./emb_a55b25.npy, TC = 0.5819, TD = 0.6577
文件名: ./emb_a10b40.npy, TC = 0.5162, TD = 0.6083
文件名: ./emb_a55b50.npy, TC = 0.5881, TD = 0.6778
