文件名: ./emb_a40b15.npy, TC = 0.5629, TD = 0.6611
文件名: ./emb_a5b30.npy, TC = 0.5077, TD = 0.5714
文件名: ./emb_a40b50.npy, TC = 0.5568, TD = 0.6600
文件名: ./emb_a70b5.npy, TC = 0.5759, TD = 0.6542
文件名: ./emb_a60b45.npy, TC = 0.5698, TD = 0.6400
文件名: ./emb_a65b20.npy, TC = 0.5521, TD = 0.6353
文件名: ./emb_a40b10.npy, TC = 0.5620, TD = 0.6444
文件名: ./emb_a40b55.npy, TC = 0.5877, TD = 0.6708
文件名: ./emb_a5b10.npy, TC = 0.4605, TD = 0.5000
文件名: ./emb_a75b90.npy, TC = 0.5422, TD = 0.6294
文件名: ./emb_a45b5.npy, TC = 0.5604, TD = 0.6700
文件名: ./emb_a10b60.npy, TC = 0.5292, TD = 0.6533
文件名: ./emb_a80b70.npy, TC = 0.5633, TD = 0.6389
文件名: ./emb_a65b30.npy, TC = 0.5791, TD = 0.6636
文件名: ./emb_a25b70.npy, TC = 0.5412, TD = 0.6087
文件名: ./emb_a15b50.npy, TC = 0.5525, TD = 0.6250
文件名: ./emb_a75b15.npy, TC = 0.5669, TD = 0.6385
文件名: ./emb_a5b85.npy, TC = 0.4958, TD = 0.5440
文件名: ./emb_a80b35.npy, TC = 0.5635, TD = 0.6250
文件名: ./emb_a75b10.npy, TC = 0.5634, TD = 0.6391
文件名: ./emb_a35b20.npy, TC = 0.5523, TD = 0.6833
文件名: ./emb_a85b80.npy, TC = 0.5626, TD = 0.6625
文件名: ./emb_a70b50.npy, TC = 0.5677, TD = 0.6407
文件名: ./emb_a95b5.npy, TC = 0.5556, TD = 0.6636
文件名: ./emb_a35b70.npy, TC = 0.5414, TD = 0.6318
文件名: ./emb_a65b10.npy, TC = 0.5610, TD = 0.6593
文件名: ./emb_a60b15.npy, TC = 0.5595, TD = 0.6478
文件名: ./emb_a80b20.npy, TC = 0.5663, TD = 0.6250
文件名: ./emb_a40b90.npy, TC = 0.5451, TD = 0.6417
文件名: ./emb_a15b30.npy, TC = 0.5723, TD = 0.6429
文件名: ./emb_a35b50.npy, TC = 0.5539, TD = 0.6316
文件名: ./emb_a95b60.npy, TC = 0.5647, TD = 0.6269
文件名: ./emb_a20b65.npy, TC = 0.5568, TD = 0.6250
文件名: ./emb_a70b65.npy, TC = 0.5702, TD = 0.6526
