文件名: ./emb_a40b15.npy, TC = 0.5758, TD = 0.6944
文件名: ./emb_a5b30.npy, TC = 0.5323, TD = 0.6143
文件名: ./emb_a40b50.npy, TC = 0.5785, TD = 0.6900
文件名: ./emb_a70b5.npy, TC = 0.5772, TD = 0.6792
文件名: ./emb_a60b45.npy, TC = 0.5733, TD = 0.6600
文件名: ./emb_a65b20.npy, TC = 0.5580, TD = 0.6647
文件名: ./emb_a40b10.npy, TC = 0.5786, TD = 0.6778
文件名: ./emb_a40b55.npy, TC = 0.5952, TD = 0.6917
文件名: ./emb_a5b10.npy, TC = 0.5102, TD = 0.5286
文件名: ./emb_a75b90.npy, TC = 0.5438, TD = 0.6529
文件名: ./emb_a45b5.npy, TC = 0.5758, TD = 0.6850
文件名: ./emb_a10b60.npy, TC = 0.5390, TD = 0.6533
文件名: ./emb_a80b70.npy, TC = 0.5678, TD = 0.6833
文件名: ./emb_a65b30.npy, TC = 0.5889, TD = 0.6818
文件名: ./emb_a25b70.npy, TC = 0.5420, TD = 0.6217
文件名: ./emb_a15b50.npy, TC = 0.5526, TD = 0.6250
文件名: ./emb_a75b15.npy, TC = 0.5741, TD = 0.6731
文件名: ./emb_a5b85.npy, TC = 0.5402, TD = 0.5760
文件名: ./emb_a80b35.npy, TC = 0.5755, TD = 0.6536
文件名: ./emb_a75b10.npy, TC = 0.5690, TD = 0.6783
文件名: ./emb_a35b20.npy, TC = 0.5693, TD = 0.6889
文件名: ./emb_a85b80.npy, TC = 0.5666, TD = 0.6583
文件名: ./emb_a70b50.npy, TC = 0.5797, TD = 0.6704
文件名: ./emb_a95b5.npy, TC = 0.5632, TD = 0.6818
文件名: ./emb_a35b70.npy, TC = 0.5473, TD = 0.6182
文件名: ./emb_a65b10.npy, TC = 0.5744, TD = 0.6741
文件名: ./emb_a60b15.npy, TC = 0.5738, TD = 0.6783
文件名: ./emb_a80b20.npy, TC = 0.5775, TD = 0.6542
文件名: ./emb_a40b90.npy, TC = 0.5730, TD = 0.6667
文件名: ./emb_a15b30.npy, TC = 0.5755, TD = 0.6857
文件名: ./emb_a35b50.npy, TC = 0.5719, TD = 0.6737
文件名: ./emb_a95b60.npy, TC = 0.5712, TD = 0.6462
文件名: ./emb_a20b65.npy, TC = 0.5766, TD = 0.6375
文件名: ./emb_a70b65.npy, TC = 0.5674, TD = 0.6579
文件名: ./emb_a25b15.npy, TC = 0.5868, TD = 0.6760
文件名: ./emb_a45b25.npy, TC = 0.5743, TD = 0.7000
文件名: ./emb_a15b80.npy, TC = 0.5767, TD = 0.6217
文件名: ./emb_a50b15.npy, TC = 0.5834, TD = 0.6739
文件名: ./emb_a95b15.npy, TC = 0.5557, TD = 0.6696
文件名: ./emb_a80b80.npy, TC = 0.5719, TD = 0.6522
文件名: ./emb_a55b25.npy, TC = 0.5838, TD = 0.6731
文件名: ./emb_a10b40.npy, TC = 0.5213, TD = 0.6083
文件名: ./emb_a55b50.npy, TC = 0.5884, TD = 0.6963
文件名: ./emb_a45b45.npy, TC = 0.5695, TD = 0.6944
文件名: ./emb_a95b75.npy, TC = 0.5652, TD = 0.6500
文件名: ./emb_a5b95.npy, TC = 0.5373, TD = 0.5357
文件名: ./emb_a40b45.npy, TC = 0.5689, TD = 0.6944
文件名: ./emb_a95b70.npy, TC = 0.5514, TD = 0.6353
文件名: ./emb_a20b10.npy, TC = 0.5807, TD = 0.6364
文件名: ./emb_a40b85.npy, TC = 0.5410, TD = 0.5955
文件名: ./emb_a75b60.npy, TC = 0.5777, TD = 0.6750
文件名: ./emb_a75b35.npy, TC = 0.5747, TD = 0.6792
