文件名: ./emb_a40b15.npy, TC = 0.5605, TD = 0.6722
文件名: ./emb_a5b30.npy, TC = 0.5081, TD = 0.5714
文件名: ./emb_a40b50.npy, TC = 0.5625, TD = 0.6700
文件名: ./emb_a70b5.npy, TC = 0.5846, TD = 0.6708
文件名: ./emb_a60b45.npy, TC = 0.5763, TD = 0.6450
文件名: ./emb_a65b20.npy, TC = 0.5556, TD = 0.6353
文件名: ./emb_a40b10.npy, TC = 0.5720, TD = 0.6667
文件名: ./emb_a40b55.npy, TC = 0.5869, TD = 0.6667
文件名: ./emb_a5b10.npy, TC = 0.4832, TD = 0.5071
文件名: ./emb_a75b90.npy, TC = 0.5478, TD = 0.6412
文件名: ./emb_a45b5.npy, TC = 0.5699, TD = 0.6750
文件名: ./emb_a10b60.npy, TC = 0.5309, TD = 0.6467
文件名: ./emb_a80b70.npy, TC = 0.5658, TD = 0.6611
文件名: ./emb_a65b30.npy, TC = 0.5871, TD = 0.6909
文件名: ./emb_a25b70.npy, TC = 0.5548, TD = 0.6261
文件名: ./emb_a15b50.npy, TC = 0.5497, TD = 0.6188
文件名: ./emb_a75b15.npy, TC = 0.5736, TD = 0.6615
文件名: ./emb_a5b85.npy, TC = 0.5036, TD = 0.5480
文件名: ./emb_a80b35.npy, TC = 0.5793, TD = 0.6464
文件名: ./emb_a75b10.npy, TC = 0.5693, TD = 0.6609
文件名: ./emb_a35b20.npy, TC = 0.5556, TD = 0.6833
文件名: ./emb_a85b80.npy, TC = 0.5731, TD = 0.6542
文件名: ./emb_a70b50.npy, TC = 0.5818, TD = 0.6593
文件名: ./emb_a95b5.npy, TC = 0.5580, TD = 0.6682
文件名: ./emb_a35b70.npy, TC = 0.5420, TD = 0.6364
文件名: ./emb_a65b10.npy, TC = 0.5726, TD = 0.6852
文件名: ./emb_a60b15.npy, TC = 0.5582, TD = 0.6435
文件名: ./emb_a80b20.npy, TC = 0.5732, TD = 0.6417
文件名: ./emb_a40b90.npy, TC = 0.5495, TD = 0.6375
文件名: ./emb_a15b30.npy, TC = 0.5723, TD = 0.6357
文件名: ./emb_a35b50.npy, TC = 0.5578, TD = 0.6474
文件名: ./emb_a95b60.npy, TC = 0.5801, TD = 0.6500
文件名: ./emb_a20b65.npy, TC = 0.5704, TD = 0.6292
文件名: ./emb_a70b65.npy, TC = 0.5755, TD = 0.6474
文件名: ./emb_a25b15.npy, TC = 0.5845, TD = 0.6720
文件名: ./emb_a45b25.npy, TC = 0.5697, TD = 0.6700
