文件名: ./emb_a40b15.npy, TC = 0.5110, TD = 0.5750
文件名: ./emb_a5b30.npy, TC = 0.4640, TD = 0.4714
文件名: ./emb_a40b50.npy, TC = 0.5297, TD = 0.5750
文件名: ./emb_a70b5.npy, TC = 0.5261, TD = 0.5167
文件名: ./emb_a60b45.npy, TC = 0.5181, TD = 0.5412
文件名: ./emb_a65b20.npy, TC = 0.4972, TD = 0.6000
文件名: ./emb_a40b10.npy, TC = 0.5197, TD = 0.5769
文件名: ./emb_a40b55.npy, TC = 0.5477, TD = 0.6357
文件名: ./emb_a5b10.npy, TC = 0.4915, TD = 0.4600
文件名: ./emb_a75b90.npy, TC = 0.5160, TD = 0.5647
文件名: ./emb_a45b5.npy, TC = 0.5437, TD = 0.6077
文件名: ./emb_a10b60.npy, TC = 0.4960, TD = 0.5750
文件名: ./emb_a80b70.npy, TC = 0.5347, TD = 0.5182
文件名: ./emb_a65b30.npy, TC = 0.4847, TD = 0.5000
文件名: ./emb_a25b70.npy, TC = 0.5215, TD = 0.5789
文件名: ./emb_a15b50.npy, TC = 0.5005, TD = 0.6143
文件名: ./emb_a75b15.npy, TC = 0.5366, TD = 0.5333
文件名: ./emb_a5b85.npy, TC = 0.5353, TD = 0.6000
文件名: ./emb_a80b35.npy, TC = 0.5175, TD = 0.5304
文件名: ./emb_a75b10.npy, TC = 0.5393, TD = 0.5435
文件名: ./emb_a35b20.npy, TC = 0.4505, TD = 0.7000
文件名: ./emb_a85b80.npy, TC = 0.5255, TD = 0.5286
文件名: ./emb_a70b50.npy, TC = 0.5212, TD = 0.5300
文件名: ./emb_a95b5.npy, TC = 0.5237, TD = 0.5261
文件名: ./emb_a35b70.npy, TC = 0.5412, TD = 0.6471
文件名: ./emb_a65b10.npy, TC = 0.4779, TD = 0.5467
文件名: ./emb_a60b15.npy, TC = 0.5148, TD = 0.4850
文件名: ./emb_a80b20.npy, TC = 0.4639, TD = 0.8500
文件名: ./emb_a40b90.npy, TC = 0.5386, TD = 0.6043
文件名: ./emb_a15b30.npy, TC = 0.5168, TD = 0.5400
文件名: ./emb_a35b50.npy, TC = 0.5407, TD = 0.6062
文件名: ./emb_a95b60.npy, TC = 0.5323, TD = 0.5280
文件名: ./emb_a20b65.npy, TC = 0.5091, TD = 0.5500
文件名: ./emb_a70b65.npy, TC = 0.5435, TD = 0.5800
文件名: ./emb_a25b15.npy, TC = 0.5115, TD = 0.5750
文件名: ./emb_a45b25.npy, TC = 0.5163, TD = 0.5611
文件名: ./emb_a15b80.npy, TC = 0.5159, TD = 0.5368
文件名: ./emb_a50b15.npy, TC = 0.5119, TD = 0.5389
文件名: ./emb_a95b15.npy, TC = 0.5184, TD = 0.5227
文件名: ./emb_a80b80.npy, TC = 0.5221, TD = 0.5250
文件名: ./emb_a55b25.npy, TC = 0.5147, TD = 0.5353
文件名: ./emb_a10b40.npy, TC = 0.4851, TD = 0.6500
文件名: ./emb_a55b50.npy, TC = 0.5117, TD = 0.5357
文件名: ./emb_a45b45.npy, TC = 0.5294, TD = 0.6000
文件名: ./emb_a95b75.npy, TC = 0.5218, TD = 0.5238
文件名: ./emb_a5b95.npy, TC = 0.4956, TD = 0.5174
文件名: ./emb_a40b45.npy, TC = 0.5320, TD = 0.5389
文件名: ./emb_a95b70.npy, TC = 0.4269, TD = 1.0000
文件名: ./emb_a20b10.npy, TC = 0.4522, TD = 0.7000
文件名: ./emb_a40b85.npy, TC = 0.5527, TD = 0.5760
文件名: ./emb_a75b60.npy, TC = 0.5296, TD = 0.5455
文件名: ./emb_a75b35.npy, TC = 0.5407, TD = 0.5500
文件名: ./emb_a5b90.npy, TC = 0.4954, TD = 0.5000
文件名: ./emb_a65b5.npy, TC = 0.4802, TD = 0.5133
文件名: ./emb_a65b25.npy, TC = 0.4941, TD = 0.5333
文件名: ./emb_a70b75.npy, TC = 0.5198, TD = 0.5294
文件名: ./emb_a25b40.npy, TC = 0.5209, TD = 0.5176
文件名: ./emb_a55b15.npy, TC = 0.5189, TD = 0.5368
文件名: ./emb_a75b70.npy, TC = 0.5278, TD = 0.5333
文件名: ./emb_a50b80.npy, TC = 0.5471, TD = 0.6100
文件名: ./emb_a10b10.npy, TC = 0.5038, TD = 0.4923
文件名: ./emb_a80b90.npy, TC = 0.5174, TD = 0.5176
文件名: ./emb_a95b40.npy, TC = 0.5118, TD = 0.5167
文件名: ./emb_a90b30.npy, TC = 0.5224, TD = 0.5435
文件名: ./emb_a30b20.npy, TC = 0.4512, TD = 0.7000
文件名: ./emb_a75b75.npy, TC = 0.4276, TD = 1.0000
文件名: ./emb_a70b85.npy, TC = 0.5164, TD = 0.5500
文件名: ./emb_a90b35.npy, TC = 0.5083, TD = 0.5381
文件名: ./emb_a85b90.npy, TC = 0.5110, TD = 0.5167
文件名: ./emb_a60b75.npy, TC = 0.5182, TD = 0.6133
文件名: ./emb_a15b90.npy, TC = 0.5101, TD = 0.5579
文件名: ./emb_a25b85.npy, TC = 0.5347, TD = 0.6042
文件名: ./emb_a55b20.npy, TC = 0.4987, TD = 0.5294
文件名: ./emb_a45b10.npy, TC = 0.5152, TD = 0.5923
文件名: ./emb_a50b75.npy, TC = 0.5386, TD = 0.6400
文件名: ./emb_a85b60.npy, TC = 0.4993, TD = 0.5294
文件名: ./emb_a15b60.npy, TC = 0.4969, TD = 0.5118
文件名: ./emb_a55b95.npy, TC = 0.5523, TD = 0.5500
文件名: ./emb_a10b50.npy, TC = 0.5045, TD = 0.6231
文件名: ./emb_a15b45.npy, TC = 0.5315, TD = 0.5667
文件名: ./emb_a85b10.npy, TC = 0.5237, TD = 0.5190
文件名: ./emb_a45b15.npy, TC = 0.4865, TD = 0.5250
