文件名: ./emb_a40b15.npy, TC = 0.5004, TD = 0.5583
文件名: ./emb_a5b30.npy, TC = 0.4459, TD = 0.4500
文件名: ./emb_a40b50.npy, TC = 0.5469, TD = 0.6000
文件名: ./emb_a70b5.npy, TC = 0.5140, TD = 0.5250
文件名: ./emb_a60b45.npy, TC = 0.5004, TD = 0.5176
文件名: ./emb_a65b20.npy, TC = 0.4815, TD = 0.5889
文件名: ./emb_a40b10.npy, TC = 0.5175, TD = 0.5769
文件名: ./emb_a40b55.npy, TC = 0.5528, TD = 0.6286
文件名: ./emb_a5b10.npy, TC = 0.4594, TD = 0.4200
文件名: ./emb_a75b90.npy, TC = 0.5111, TD = 0.5235
文件名: ./emb_a45b5.npy, TC = 0.5460, TD = 0.5615
文件名: ./emb_a10b60.npy, TC = 0.4879, TD = 0.5667
文件名: ./emb_a80b70.npy, TC = 0.5376, TD = 0.5273
文件名: ./emb_a65b30.npy, TC = 0.4882, TD = 0.5071
文件名: ./emb_a25b70.npy, TC = 0.5191, TD = 0.5789
文件名: ./emb_a15b50.npy, TC = 0.4608, TD = 0.5571
文件名: ./emb_a75b15.npy, TC = 0.5268, TD = 0.5238
文件名: ./emb_a5b85.npy, TC = 0.5037, TD = 0.5667
文件名: ./emb_a80b35.npy, TC = 0.5227, TD = 0.5174
文件名: ./emb_a75b10.npy, TC = 0.5148, TD = 0.5348
文件名: ./emb_a35b20.npy, TC = 0.4356, TD = 0.7000
文件名: ./emb_a85b80.npy, TC = 0.5281, TD = 0.5333
文件名: ./emb_a70b50.npy, TC = 0.5094, TD = 0.5250
文件名: ./emb_a95b5.npy, TC = 0.5265, TD = 0.5435
文件名: ./emb_a35b70.npy, TC = 0.5343, TD = 0.6353
文件名: ./emb_a65b10.npy, TC = 0.4729, TD = 0.5467
文件名: ./emb_a60b15.npy, TC = 0.5053, TD = 0.4800
文件名: ./emb_a80b20.npy, TC = 0.4876, TD = 0.8500
文件名: ./emb_a40b90.npy, TC = 0.5286, TD = 0.5826
文件名: ./emb_a15b30.npy, TC = 0.4924, TD = 0.5267
文件名: ./emb_a35b50.npy, TC = 0.5350, TD = 0.5813
文件名: ./emb_a95b60.npy, TC = 0.5317, TD = 0.5160
文件名: ./emb_a20b65.npy, TC = 0.4845, TD = 0.5417
文件名: ./emb_a70b65.npy, TC = 0.5285, TD = 0.5850
文件名: ./emb_a25b15.npy, TC = 0.4840, TD = 0.5500
文件名: ./emb_a45b25.npy, TC = 0.5178, TD = 0.5333
文件名: ./emb_a15b80.npy, TC = 0.4735, TD = 0.5105
文件名: ./emb_a50b15.npy, TC = 0.5236, TD = 0.5667
文件名: ./emb_a95b15.npy, TC = 0.5096, TD = 0.5000
文件名: ./emb_a80b80.npy, TC = 0.5258, TD = 0.5400
文件名: ./emb_a55b25.npy, TC = 0.5250, TD = 0.5588
文件名: ./emb_a10b40.npy, TC = 0.4308, TD = 0.5500
文件名: ./emb_a55b50.npy, TC = 0.5078, TD = 0.5214
文件名: ./emb_a45b45.npy, TC = 0.5296, TD = 0.5600
文件名: ./emb_a95b75.npy, TC = 0.5199, TD = 0.5381
文件名: ./emb_a5b95.npy, TC = 0.4790, TD = 0.5000
文件名: ./emb_a40b45.npy, TC = 0.5306, TD = 0.5444
文件名: ./emb_a95b70.npy, TC = 0.3714, TD = 1.0000
文件名: ./emb_a20b10.npy, TC = 0.4382, TD = 0.7000
文件名: ./emb_a40b85.npy, TC = 0.5427, TD = 0.5240
文件名: ./emb_a75b60.npy, TC = 0.5255, TD = 0.5364
文件名: ./emb_a75b35.npy, TC = 0.5243, TD = 0.5250
文件名: ./emb_a5b90.npy, TC = 0.4773, TD = 0.4955
文件名: ./emb_a65b5.npy, TC = 0.4868, TD = 0.5400
文件名: ./emb_a65b25.npy, TC = 0.4846, TD = 0.5200
文件名: ./emb_a70b75.npy, TC = 0.5125, TD = 0.5176
文件名: ./emb_a25b40.npy, TC = 0.5029, TD = 0.5059
文件名: ./emb_a55b15.npy, TC = 0.5119, TD = 0.5474
文件名: ./emb_a75b70.npy, TC = 0.5257, TD = 0.5389
文件名: ./emb_a50b80.npy, TC = 0.5385, TD = 0.5950
文件名: ./emb_a10b10.npy, TC = 0.4593, TD = 0.4308
文件名: ./emb_a80b90.npy, TC = 0.5200, TD = 0.5294
文件名: ./emb_a95b40.npy, TC = 0.5044, TD = 0.4917
文件名: ./emb_a90b30.npy, TC = 0.5225, TD = 0.5217
文件名: ./emb_a30b20.npy, TC = 0.4374, TD = 0.7000
文件名: ./emb_a75b75.npy, TC = 0.3716, TD = 1.0000
文件名: ./emb_a70b85.npy, TC = 0.5051, TD = 0.5375
文件名: ./emb_a90b35.npy, TC = 0.4972, TD = 0.5095
文件名: ./emb_a85b90.npy, TC = 0.5068, TD = 0.5389
文件名: ./emb_a60b75.npy, TC = 0.5105, TD = 0.5933
文件名: ./emb_a15b90.npy, TC = 0.4963, TD = 0.5368
文件名: ./emb_a25b85.npy, TC = 0.5220, TD = 0.5542
文件名: ./emb_a55b20.npy, TC = 0.4997, TD = 0.5235
文件名: ./emb_a45b10.npy, TC = 0.5184, TD = 0.5615
文件名: ./emb_a50b75.npy, TC = 0.5240, TD = 0.6300
文件名: ./emb_a85b60.npy, TC = 0.5010, TD = 0.5294
文件名: ./emb_a15b60.npy, TC = 0.4895, TD = 0.5000
文件名: ./emb_a55b95.npy, TC = 0.5290, TD = 0.5125
文件名: ./emb_a10b50.npy, TC = 0.4971, TD = 0.6231
文件名: ./emb_a15b45.npy, TC = 0.5130, TD = 0.5533
文件名: ./emb_a85b10.npy, TC = 0.5154, TD = 0.5143
文件名: ./emb_a45b15.npy, TC = 0.5192, TD = 0.5667
文件名: ./emb_a35b90.npy, TC = 0.5148, TD = 0.5542
文件名: ./emb_a20b50.npy, TC = 0.4891, TD = 0.5615
文件名: ./emb_a20b30.npy, TC = 0.4231, TD = 0.7000
文件名: ./emb_a45b85.npy, TC = 0.5325, TD = 0.5909
文件名: ./emb_a10b65.npy, TC = 0.5141, TD = 0.5941
文件名: ./emb_a95b55.npy, TC = 0.5061, TD = 0.5250
文件名: ./emb_a5b35.npy, TC = 0.4392, TD = 0.7000
文件名: ./emb_a20b75.npy, TC = 0.4976, TD = 0.5368
文件名: ./emb_a20b90.npy, TC = 0.4822, TD = 0.4800
文件名: ./emb_a45b60.npy, TC = 0.3385, TD = 1.0000
文件名: ./emb_a85b40.npy, TC = 0.5233, TD = 0.5333
文件名: ./emb_a25b95.npy, TC = 0.4894, TD = 0.5625
文件名: ./emb_a85b15.npy, TC = 0.5347, TD = 0.5318
文件名: ./emb_a80b30.npy, TC = 0.5202, TD = 0.5190
文件名: ./emb_a50b70.npy, TC = 0.5111, TD = 0.5588
文件名: ./emb_a50b35.npy, TC = 0.5158, TD = 0.5375
文件名: ./emb_a80b75.npy, TC = 0.5172, TD = 0.5526
文件名: ./emb_a70b70.npy, TC = 0.5131, TD = 0.5125
文件名: ./emb_a55b10.npy, TC = 0.5153, TD = 0.5250
文件名: ./emb_a85b5.npy, TC = 0.4978, TD = 0.5105
文件名: ./emb_a55b90.npy, TC = 0.5378, TD = 0.5773
文件名: ./emb_a65b40.npy, TC = 0.4864, TD = 0.5000
文件名: ./emb_a35b10.npy, TC = 0.5132, TD = 0.5500
文件名: ./emb_a50b85.npy, TC = 0.5337, TD = 0.5700
文件名: ./emb_a70b45.npy, TC = 0.5280, TD = 0.5333
文件名: ./emb_a80b10.npy, TC = 0.5142, TD = 0.5273
文件名: ./emb_a10b90.npy, TC = 0.4864, TD = 0.5190
文件名: ./emb_a25b55.npy, TC = 0.5488, TD = 0.6071
文件名: ./emb_a65b65.npy, TC = 0.3712, TD = 1.0000
文件名: ./emb_a25b25.npy, TC = 0.4392, TD = 0.7000
文件名: ./emb_a25b20.npy, TC = 0.4387, TD = 0.7000
文件名: ./emb_a60b90.npy, TC = 0.5335, TD = 0.5500
文件名: ./emb_a5b60.npy, TC = 0.4569, TD = 0.4214
文件名: ./emb_a15b70.npy, TC = 0.5058, TD = 0.5611
文件名: ./emb_a65b90.npy, TC = 0.5417, TD = 0.5813
文件名: ./emb_a20b15.npy, TC = 0.4758, TD = 0.4706
文件名: ./emb_a40b60.npy, TC = 0.5289, TD = 0.6235
文件名: ./emb_a25b80.npy, TC = 0.4493, TD = 0.8500
文件名: ./emb_a75b85.npy, TC = 0.5093, TD = 0.5412
文件名: ./emb_a80b25.npy, TC = 0.5042, TD = 0.5150
文件名: ./emb_a10b80.npy, TC = 0.4930, TD = 0.5250
文件名: ./emb_a60b40.npy, TC = 0.4757, TD = 0.5200
文件名: ./emb_a90b65.npy, TC = 0.5200, TD = 0.5391
文件名: ./emb_a75b20.npy, TC = 0.5187, TD = 0.5000
文件名: ./emb_a5b55.npy, TC = 0.4977, TD = 0.5045
文件名: ./emb_a30b70.npy, TC = 0.5237, TD = 0.5842
文件名: ./emb_a80b55.npy, TC = 0.5111, TD = 0.5095
文件名: ./emb_a45b30.npy, TC = 0.5165, TD = 0.5533
文件名: ./emb_a75b30.npy, TC = 0.5326, TD = 0.5474
文件名: ./emb_a85b65.npy, TC = 0.5164, TD = 0.5500
文件名: ./emb_a15b10.npy, TC = 0.4648, TD = 0.4643
