文件名: ./emb_a40b15.npy, TC = 0.5176, TD = 0.5667
文件名: ./emb_a5b30.npy, TC = 0.4824, TD = 0.4786
文件名: ./emb_a40b50.npy, TC = 0.5413, TD = 0.5687
文件名: ./emb_a70b5.npy, TC = 0.5401, TD = 0.5250
文件名: ./emb_a60b45.npy, TC = 0.5157, TD = 0.5176
文件名: ./emb_a65b20.npy, TC = 0.5154, TD = 0.6333
文件名: ./emb_a40b10.npy, TC = 0.5323, TD = 0.5615
文件名: ./emb_a40b55.npy, TC = 0.5644, TD = 0.6286
文件名: ./emb_a5b10.npy, TC = 0.5109, TD = 0.4600
文件名: ./emb_a75b90.npy, TC = 0.5320, TD = 0.5647
文件名: ./emb_a45b5.npy, TC = 0.5536, TD = 0.6000
文件名: ./emb_a10b60.npy, TC = 0.5052, TD = 0.5750
文件名: ./emb_a80b70.npy, TC = 0.5485, TD = 0.5455
文件名: ./emb_a65b30.npy, TC = 0.4987, TD = 0.5214
文件名: ./emb_a25b70.npy, TC = 0.5373, TD = 0.5895
文件名: ./emb_a15b50.npy, TC = 0.5278, TD = 0.5929
文件名: ./emb_a75b15.npy, TC = 0.5476, TD = 0.5286
文件名: ./emb_a5b85.npy, TC = 0.5411, TD = 0.6222
文件名: ./emb_a80b35.npy, TC = 0.5298, TD = 0.5565
文件名: ./emb_a75b10.npy, TC = 0.5541, TD = 0.5565
文件名: ./emb_a35b20.npy, TC = 0.4769, TD = 0.6500
文件名: ./emb_a85b80.npy, TC = 0.5436, TD = 0.5429
文件名: ./emb_a70b50.npy, TC = 0.5401, TD = 0.5550
文件名: ./emb_a95b5.npy, TC = 0.5332, TD = 0.5609
文件名: ./emb_a35b70.npy, TC = 0.5523, TD = 0.6353
文件名: ./emb_a65b10.npy, TC = 0.4844, TD = 0.5533
文件名: ./emb_a60b15.npy, TC = 0.5269, TD = 0.4750
文件名: ./emb_a80b20.npy, TC = 0.4862, TD = 0.8500
文件名: ./emb_a40b90.npy, TC = 0.5424, TD = 0.6000
文件名: ./emb_a15b30.npy, TC = 0.5333, TD = 0.5333
