文件名: ./emb_a40b15.npy, TC = 0.5166, TD = 0.5500
文件名: ./emb_a5b30.npy, TC = 0.4520, TD = 0.4643
文件名: ./emb_a40b50.npy, TC = 0.5506, TD = 0.6000
文件名: ./emb_a70b5.npy, TC = 0.5272, TD = 0.5375
文件名: ./emb_a60b45.npy, TC = 0.5191, TD = 0.5235
文件名: ./emb_a65b20.npy, TC = 0.4950, TD = 0.6333
文件名: ./emb_a40b10.npy, TC = 0.5280, TD = 0.5769
文件名: ./emb_a40b55.npy, TC = 0.5672, TD = 0.6286
文件名: ./emb_a5b10.npy, TC = 0.4798, TD = 0.4333
文件名: ./emb_a75b90.npy, TC = 0.5224, TD = 0.5471
文件名: ./emb_a45b5.npy, TC = 0.5521, TD = 0.5692
文件名: ./emb_a10b60.npy, TC = 0.5004, TD = 0.5667
文件名: ./emb_a80b70.npy, TC = 0.5413, TD = 0.5364
文件名: ./emb_a65b30.npy, TC = 0.4997, TD = 0.5357
文件名: ./emb_a25b70.npy, TC = 0.5205, TD = 0.5789
文件名: ./emb_a15b50.npy, TC = 0.4689, TD = 0.5714
文件名: ./emb_a75b15.npy, TC = 0.5391, TD = 0.5190
文件名: ./emb_a5b85.npy, TC = 0.5194, TD = 0.5833
文件名: ./emb_a80b35.npy, TC = 0.5236, TD = 0.5217
文件名: ./emb_a75b10.npy, TC = 0.5384, TD = 0.5391
文件名: ./emb_a35b20.npy, TC = 0.4399, TD = 0.7000
文件名: ./emb_a85b80.npy, TC = 0.5376, TD = 0.5476
文件名: ./emb_a70b50.npy, TC = 0.5236, TD = 0.5250
文件名: ./emb_a95b5.npy, TC = 0.5363, TD = 0.5478
文件名: ./emb_a35b70.npy, TC = 0.5476, TD = 0.6529
文件名: ./emb_a65b10.npy, TC = 0.4873, TD = 0.5533
文件名: ./emb_a60b15.npy, TC = 0.5143, TD = 0.4900
文件名: ./emb_a80b20.npy, TC = 0.5302, TD = 0.9000
文件名: ./emb_a40b90.npy, TC = 0.5284, TD = 0.5783
文件名: ./emb_a15b30.npy, TC = 0.5059, TD = 0.5333
文件名: ./emb_a35b50.npy, TC = 0.5406, TD = 0.5813
文件名: ./emb_a95b60.npy, TC = 0.5431, TD = 0.5360
文件名: ./emb_a20b65.npy, TC = 0.5049, TD = 0.5583
文件名: ./emb_a70b65.npy, TC = 0.5420, TD = 0.5800
文件名: ./emb_a25b15.npy, TC = 0.4942, TD = 0.5500
文件名: ./emb_a45b25.npy, TC = 0.5151, TD = 0.5333
文件名: ./emb_a15b80.npy, TC = 0.4901, TD = 0.5211
文件名: ./emb_a50b15.npy, TC = 0.5197, TD = 0.5556
文件名: ./emb_a95b15.npy, TC = 0.5185, TD = 0.5182
文件名: ./emb_a80b80.npy, TC = 0.5339, TD = 0.5500
文件名: ./emb_a55b25.npy, TC = 0.5298, TD = 0.5588
文件名: ./emb_a10b40.npy, TC = 0.4632, TD = 0.5750
文件名: ./emb_a55b50.npy, TC = 0.5082, TD = 0.5143
文件名: ./emb_a45b45.npy, TC = 0.5324, TD = 0.5467
文件名: ./emb_a95b75.npy, TC = 0.5322, TD = 0.5333
文件名: ./emb_a5b95.npy, TC = 0.4893, TD = 0.5000
文件名: ./emb_a40b45.npy, TC = 0.5334, TD = 0.5444
文件名: ./emb_a95b70.npy, TC = 0.3709, TD = 1.0000
文件名: ./emb_a20b10.npy, TC = 0.4405, TD = 0.7000
文件名: ./emb_a40b85.npy, TC = 0.5510, TD = 0.5280
文件名: ./emb_a75b60.npy, TC = 0.5274, TD = 0.5500
文件名: ./emb_a75b35.npy, TC = 0.5369, TD = 0.5300
文件名: ./emb_a5b90.npy, TC = 0.4801, TD = 0.5000
文件名: ./emb_a65b5.npy, TC = 0.4955, TD = 0.5333
文件名: ./emb_a65b25.npy, TC = 0.5063, TD = 0.5533
文件名: ./emb_a70b75.npy, TC = 0.5282, TD = 0.5294
文件名: ./emb_a25b40.npy, TC = 0.5141, TD = 0.5235
文件名: ./emb_a55b15.npy, TC = 0.5404, TD = 0.5474
文件名: ./emb_a75b70.npy, TC = 0.5372, TD = 0.5500
文件名: ./emb_a50b80.npy, TC = 0.5395, TD = 0.5950
文件名: ./emb_a10b10.npy, TC = 0.4802, TD = 0.4615
文件名: ./emb_a80b90.npy, TC = 0.5346, TD = 0.5235
文件名: ./emb_a95b40.npy, TC = 0.5203, TD = 0.4958
文件名: ./emb_a90b30.npy, TC = 0.5362, TD = 0.5304
文件名: ./emb_a30b20.npy, TC = 0.4408, TD = 0.7000
文件名: ./emb_a75b75.npy, TC = 0.3712, TD = 1.0000
文件名: ./emb_a70b85.npy, TC = 0.5170, TD = 0.5625
文件名: ./emb_a90b35.npy, TC = 0.5094, TD = 0.5238
文件名: ./emb_a85b90.npy, TC = 0.5183, TD = 0.5500
文件名: ./emb_a60b75.npy, TC = 0.5169, TD = 0.5933
文件名: ./emb_a15b90.npy, TC = 0.5141, TD = 0.5632
文件名: ./emb_a25b85.npy, TC = 0.5266, TD = 0.5667
文件名: ./emb_a55b20.npy, TC = 0.5029, TD = 0.5059
文件名: ./emb_a45b10.npy, TC = 0.5284, TD = 0.5538
文件名: ./emb_a50b75.npy, TC = 0.5383, TD = 0.6400
文件名: ./emb_a85b60.npy, TC = 0.5062, TD = 0.5588
文件名: ./emb_a15b60.npy, TC = 0.5008, TD = 0.5176
文件名: ./emb_a55b95.npy, TC = 0.5425, TD = 0.4917
文件名: ./emb_a10b50.npy, TC = 0.5008, TD = 0.6231
文件名: ./emb_a15b45.npy, TC = 0.5247, TD = 0.5533
文件名: ./emb_a85b10.npy, TC = 0.5283, TD = 0.5238
文件名: ./emb_a45b15.npy, TC = 0.5136, TD = 0.5583
文件名: ./emb_a35b90.npy, TC = 0.5365, TD = 0.5625
文件名: ./emb_a20b50.npy, TC = 0.5179, TD = 0.5692
文件名: ./emb_a20b30.npy, TC = 0.4431, TD = 0.7000
文件名: ./emb_a45b85.npy, TC = 0.5379, TD = 0.5955
文件名: ./emb_a10b65.npy, TC = 0.5135, TD = 0.5941
文件名: ./emb_a95b55.npy, TC = 0.5186, TD = 0.5200
文件名: ./emb_a5b35.npy, TC = 0.4434, TD = 0.7000
文件名: ./emb_a20b75.npy, TC = 0.5216, TD = 0.5632
文件名: ./emb_a20b90.npy, TC = 0.4975, TD = 0.5000
文件名: ./emb_a45b60.npy, TC = 0.3709, TD = 1.0000
文件名: ./emb_a85b40.npy, TC = 0.5315, TD = 0.5381
文件名: ./emb_a25b95.npy, TC = 0.4973, TD = 0.5583
文件名: ./emb_a85b15.npy, TC = 0.5431, TD = 0.5273
文件名: ./emb_a80b30.npy, TC = 0.5317, TD = 0.5286
文件名: ./emb_a50b70.npy, TC = 0.5204, TD = 0.5588
文件名: ./emb_a50b35.npy, TC = 0.5204, TD = 0.5375
文件名: ./emb_a80b75.npy, TC = 0.5391, TD = 0.5632
文件名: ./emb_a70b70.npy, TC = 0.5213, TD = 0.5437
文件名: ./emb_a55b10.npy, TC = 0.5320, TD = 0.5350
文件名: ./emb_a85b5.npy, TC = 0.5142, TD = 0.5263
文件名: ./emb_a55b90.npy, TC = 0.5471, TD = 0.5909
文件名: ./emb_a65b40.npy, TC = 0.4933, TD = 0.5071
文件名: ./emb_a35b10.npy, TC = 0.5158, TD = 0.5188
文件名: ./emb_a50b85.npy, TC = 0.5470, TD = 0.5800
文件名: ./emb_a70b45.npy, TC = 0.5274, TD = 0.5286
