文件名: ./emb_a40b15.npy, TC = 0.5951, TD = 0.6808
文件名: ./emb_a5b30.npy, TC = 0.4783, TD = 0.6500
文件名: ./emb_a40b50.npy, TC = 0.6081, TD = 0.7130
文件名: ./emb_a70b5.npy, TC = 0.5952, TD = 0.7074
文件名: ./emb_a60b45.npy, TC = 0.4377, TD = 0.7000
文件名: ./emb_a65b20.npy, TC = 0.5860, TD = 0.6833
文件名: ./emb_a40b10.npy, TC = 0.5956, TD = 0.7038
文件名: ./emb_a40b55.npy, TC = 0.5894, TD = 0.6769
文件名: ./emb_a5b10.npy, TC = 0.4775, TD = 0.6500
文件名: ./emb_a75b90.npy, TC = 0.5844, TD = 0.6957
文件名: ./emb_a45b5.npy, TC = 0.5981, TD = 0.6926
文件名: ./emb_a10b60.npy, TC = 0.5639, TD = 0.6769
文件名: ./emb_a80b70.npy, TC = 0.5824, TD = 0.6769
文件名: ./emb_a65b30.npy, TC = 0.5845, TD = 0.7269
文件名: ./emb_a25b70.npy, TC = 0.3655, TD = 1.0000
文件名: ./emb_a15b50.npy, TC = 0.5552, TD = 0.6500
文件名: ./emb_a75b15.npy, TC = 0.5826, TD = 0.6704
文件名: ./emb_a5b85.npy, TC = 0.5271, TD = 0.5652
文件名: ./emb_a80b35.npy, TC = 0.5327, TD = 0.6667
文件名: ./emb_a75b10.npy, TC = 0.6014, TD = 0.6815
文件名: ./emb_a35b20.npy, TC = 0.6046, TD = 0.7160
文件名: ./emb_a85b80.npy, TC = 0.5736, TD = 0.6808
文件名: ./emb_a70b50.npy, TC = 0.5905, TD = 0.6893
文件名: ./emb_a95b5.npy, TC = 0.4746, TD = 0.6500
文件名: ./emb_a35b70.npy, TC = 0.5903, TD = 0.6696
文件名: ./emb_a65b10.npy, TC = 0.4380, TD = 0.7000
文件名: ./emb_a60b15.npy, TC = 0.5928, TD = 0.7080
文件名: ./emb_a80b20.npy, TC = 0.4374, TD = 0.7000
文件名: ./emb_a40b90.npy, TC = 0.5677, TD = 0.6762
文件名: ./emb_a15b30.npy, TC = 0.6016, TD = 0.6765
文件名: ./emb_a35b50.npy, TC = 0.6091, TD = 0.7043
文件名: ./emb_a95b60.npy, TC = 0.5831, TD = 0.6920
文件名: ./emb_a20b65.npy, TC = 0.4771, TD = 0.6500
文件名: ./emb_a70b65.npy, TC = 0.5859, TD = 0.6714
文件名: ./emb_a25b15.npy, TC = 0.5835, TD = 0.7067
文件名: ./emb_a45b25.npy, TC = 0.6027, TD = 0.6960
文件名: ./emb_a15b80.npy, TC = 0.5733, TD = 0.5696
文件名: ./emb_a50b15.npy, TC = 0.5942, TD = 0.6923
文件名: ./emb_a95b15.npy, TC = 0.5906, TD = 0.7000
文件名: ./emb_a80b80.npy, TC = 0.5855, TD = 0.6913
文件名: ./emb_a55b25.npy, TC = 0.4377, TD = 0.7000
文件名: ./emb_a10b40.npy, TC = 0.6084, TD = 0.7000
文件名: ./emb_a55b50.npy, TC = 0.4376, TD = 0.7000
文件名: ./emb_a45b45.npy, TC = 0.6050, TD = 0.7040
文件名: ./emb_a95b75.npy, TC = 0.5948, TD = 0.6875
文件名: ./emb_a5b95.npy, TC = 0.5368, TD = 0.5448
文件名: ./emb_a40b45.npy, TC = 0.6022, TD = 0.7125
文件名: ./emb_a95b70.npy, TC = 0.5779, TD = 0.6826
文件名: ./emb_a20b10.npy, TC = 0.5216, TD = 0.7333
文件名: ./emb_a40b85.npy, TC = 0.5932, TD = 0.6565
文件名: ./emb_a75b60.npy, TC = 0.5901, TD = 0.6962
文件名: ./emb_a75b35.npy, TC = 0.5799, TD = 0.6889
文件名: ./emb_a5b90.npy, TC = 0.5337, TD = 0.5304
文件名: ./emb_a65b5.npy, TC = 0.5891, TD = 0.6808
文件名: ./emb_a65b25.npy, TC = 0.4375, TD = 0.7000
文件名: ./emb_a70b75.npy, TC = 0.6011, TD = 0.7038
文件名: ./emb_a25b40.npy, TC = 0.4412, TD = 1.0000
文件名: ./emb_a55b15.npy, TC = 0.5888, TD = 0.6920
文件名: ./emb_a75b70.npy, TC = 0.5850, TD = 0.6840
文件名: ./emb_a50b80.npy, TC = 0.5982, TD = 0.7077
文件名: ./emb_a10b10.npy, TC = 0.4404, TD = 1.0000
文件名: ./emb_a80b90.npy, TC = 0.5950, TD = 0.6952
文件名: ./emb_a95b40.npy, TC = 0.5791, TD = 0.6880
文件名: ./emb_a90b30.npy, TC = 0.4380, TD = 0.7000
文件名: ./emb_a30b20.npy, TC = 0.5864, TD = 0.6520
文件名: ./emb_a75b75.npy, TC = 0.6089, TD = 0.7000
文件名: ./emb_a70b85.npy, TC = 0.5868, TD = 0.6880
