文件名: ./emb_a40b15.npy, TC = 0.5659, TD = 0.6783
文件名: ./emb_a5b30.npy, TC = 0.4400, TD = 0.7000
文件名: ./emb_a40b50.npy, TC = 0.5876, TD = 0.6923
文件名: ./emb_a70b5.npy, TC = 0.5801, TD = 0.6654
文件名: ./emb_a60b45.npy, TC = 0.5742, TD = 0.6885
文件名: ./emb_a65b20.npy, TC = 0.5690, TD = 0.6870
文件名: ./emb_a40b10.npy, TC = 0.5922, TD = 0.6960
文件名: ./emb_a40b55.npy, TC = 0.5813, TD = 0.6593
文件名: ./emb_a5b10.npy, TC = 0.5299, TD = 0.5000
文件名: ./emb_a75b90.npy, TC = 0.5834, TD = 0.7080
文件名: ./emb_a45b5.npy, TC = 0.5768, TD = 0.6652
文件名: ./emb_a10b60.npy, TC = 0.5472, TD = 0.5882
文件名: ./emb_a80b70.npy, TC = 0.5702, TD = 0.6800
文件名: ./emb_a65b30.npy, TC = 0.5951, TD = 0.7192
文件名: ./emb_a25b70.npy, TC = 0.5875, TD = 0.7273
文件名: ./emb_a15b50.npy, TC = 0.5904, TD = 0.6889
文件名: ./emb_a75b15.npy, TC = 0.5871, TD = 0.6708
文件名: ./emb_a5b85.npy, TC = 0.5322, TD = 0.6056
文件名: ./emb_a80b35.npy, TC = 0.5825, TD = 0.6917
文件名: ./emb_a75b10.npy, TC = 0.5776, TD = 0.6870
文件名: ./emb_a35b20.npy, TC = 0.5805, TD = 0.6880
文件名: ./emb_a85b80.npy, TC = 0.5733, TD = 0.6960
文件名: ./emb_a70b50.npy, TC = 0.5724, TD = 0.6773
文件名: ./emb_a95b5.npy, TC = 0.5869, TD = 0.7083
文件名: ./emb_a35b70.npy, TC = 0.5776, TD = 0.6818
文件名: ./emb_a65b10.npy, TC = 0.5869, TD = 0.6815
文件名: ./emb_a60b15.npy, TC = 0.5755, TD = 0.6739
文件名: ./emb_a80b20.npy, TC = 0.5859, TD = 0.6885
文件名: ./emb_a40b90.npy, TC = 0.5924, TD = 0.6870
文件名: ./emb_a15b30.npy, TC = 0.4418, TD = 1.0000
文件名: ./emb_a35b50.npy, TC = 0.5917, TD = 0.6962
文件名: ./emb_a95b60.npy, TC = 0.5926, TD = 0.6560
文件名: ./emb_a20b65.npy, TC = 0.5922, TD = 0.7182
文件名: ./emb_a70b65.npy, TC = 0.5767, TD = 0.6636
文件名: ./emb_a25b15.npy, TC = 0.5850, TD = 0.7095
文件名: ./emb_a45b25.npy, TC = 0.5966, TD = 0.6769
文件名: ./emb_a15b80.npy, TC = 0.5570, TD = 0.6000
文件名: ./emb_a50b15.npy, TC = 0.5817, TD = 0.6762
文件名: ./emb_a95b15.npy, TC = 0.5825, TD = 0.7087
文件名: ./emb_a80b80.npy, TC = 0.5778, TD = 0.6625
文件名: ./emb_a55b25.npy, TC = 0.5722, TD = 0.6792
文件名: ./emb_a10b40.npy, TC = 0.5257, TD = 0.7333
文件名: ./emb_a55b50.npy, TC = 0.5716, TD = 0.7000
文件名: ./emb_a45b45.npy, TC = 0.5860, TD = 0.6800
文件名: ./emb_a95b75.npy, TC = 0.5880, TD = 0.6962
文件名: ./emb_a5b95.npy, TC = 0.5067, TD = 0.5308
文件名: ./emb_a40b45.npy, TC = 0.5820, TD = 0.6577
文件名: ./emb_a95b70.npy, TC = 0.5839, TD = 0.6880
文件名: ./emb_a20b10.npy, TC = 0.5907, TD = 0.6722
文件名: ./emb_a40b85.npy, TC = 0.5840, TD = 0.6920
文件名: ./emb_a75b60.npy, TC = 0.5648, TD = 0.6636
文件名: ./emb_a75b35.npy, TC = 0.5798, TD = 0.6808
文件名: ./emb_a5b90.npy, TC = 0.5100, TD = 0.5158
文件名: ./emb_a65b5.npy, TC = 0.5820, TD = 0.6826
文件名: ./emb_a65b25.npy, TC = 0.5753, TD = 0.6905
文件名: ./emb_a70b75.npy, TC = 0.5870, TD = 0.7333
文件名: ./emb_a25b40.npy, TC = 0.6006, TD = 0.6926
文件名: ./emb_a55b15.npy, TC = 0.5861, TD = 0.6923
文件名: ./emb_a75b70.npy, TC = 0.5903, TD = 0.7160
文件名: ./emb_a50b80.npy, TC = 0.5737, TD = 0.6731
文件名: ./emb_a10b10.npy, TC = 0.5585, TD = 0.5733
文件名: ./emb_a80b90.npy, TC = 0.5756, TD = 0.6920
文件名: ./emb_a95b40.npy, TC = 0.5842, TD = 0.6913
文件名: ./emb_a90b30.npy, TC = 0.5806, TD = 0.6957
文件名: ./emb_a30b20.npy, TC = 0.5944, TD = 0.6885
文件名: ./emb_a75b75.npy, TC = 0.5911, TD = 0.6885
文件名: ./emb_a70b85.npy, TC = 0.5692, TD = 0.6571
文件名: ./emb_a90b35.npy, TC = 0.5786, TD = 0.6696
文件名: ./emb_a85b90.npy, TC = 0.5809, TD = 0.6870
文件名: ./emb_a60b75.npy, TC = 0.5649, TD = 0.6560
文件名: ./emb_a15b90.npy, TC = 0.5475, TD = 0.5462
文件名: ./emb_a25b85.npy, TC = 0.5983, TD = 0.7053
文件名: ./emb_a55b20.npy, TC = 0.5751, TD = 0.6560
