文件名: ./emb_a40b15.npy, TC = 0.5726, TD = 0.6783
文件名: ./emb_a5b30.npy, TC = 0.4411, TD = 0.7000
文件名: ./emb_a40b50.npy, TC = 0.5930, TD = 0.6846
文件名: ./emb_a70b5.npy, TC = 0.5855, TD = 0.6615
文件名: ./emb_a60b45.npy, TC = 0.5730, TD = 0.6923
文件名: ./emb_a65b20.npy, TC = 0.5741, TD = 0.6739
文件名: ./emb_a40b10.npy, TC = 0.5791, TD = 0.6800
文件名: ./emb_a40b55.npy, TC = 0.5807, TD = 0.6741
文件名: ./emb_a5b10.npy, TC = 0.5061, TD = 0.4765
文件名: ./emb_a75b90.npy, TC = 0.5678, TD = 0.6840
文件名: ./emb_a45b5.npy, TC = 0.5739, TD = 0.6826
文件名: ./emb_a10b60.npy, TC = 0.5389, TD = 0.5941
文件名: ./emb_a80b70.npy, TC = 0.5716, TD = 0.6760
文件名: ./emb_a65b30.npy, TC = 0.5810, TD = 0.7077
文件名: ./emb_a25b70.npy, TC = 0.5809, TD = 0.7136
文件名: ./emb_a15b50.npy, TC = 0.5770, TD = 0.7111
文件名: ./emb_a75b15.npy, TC = 0.5830, TD = 0.6583
文件名: ./emb_a5b85.npy, TC = 0.5040, TD = 0.5833
文件名: ./emb_a80b35.npy, TC = 0.5813, TD = 0.6708
文件名: ./emb_a75b10.npy, TC = 0.5693, TD = 0.6652
文件名: ./emb_a35b20.npy, TC = 0.5771, TD = 0.6800
文件名: ./emb_a85b80.npy, TC = 0.5583, TD = 0.6760
文件名: ./emb_a70b50.npy, TC = 0.5688, TD = 0.6818
文件名: ./emb_a95b5.npy, TC = 0.5841, TD = 0.6958
文件名: ./emb_a35b70.npy, TC = 0.5748, TD = 0.6682
文件名: ./emb_a65b10.npy, TC = 0.5770, TD = 0.6852
文件名: ./emb_a60b15.npy, TC = 0.5778, TD = 0.6870
文件名: ./emb_a80b20.npy, TC = 0.5705, TD = 0.6808
文件名: ./emb_a40b90.npy, TC = 0.5760, TD = 0.6957
文件名: ./emb_a15b30.npy, TC = 0.3710, TD = 1.0000
文件名: ./emb_a35b50.npy, TC = 0.5853, TD = 0.7038
文件名: ./emb_a95b60.npy, TC = 0.5798, TD = 0.6560
文件名: ./emb_a20b65.npy, TC = 0.5843, TD = 0.7091
文件名: ./emb_a70b65.npy, TC = 0.5813, TD = 0.6591
文件名: ./emb_a25b15.npy, TC = 0.5732, TD = 0.6952
文件名: ./emb_a45b25.npy, TC = 0.5785, TD = 0.6923
文件名: ./emb_a15b80.npy, TC = 0.5453, TD = 0.5727
文件名: ./emb_a50b15.npy, TC = 0.5886, TD = 0.7000
文件名: ./emb_a95b15.npy, TC = 0.5725, TD = 0.6826
文件名: ./emb_a80b80.npy, TC = 0.5817, TD = 0.6667
文件名: ./emb_a55b25.npy, TC = 0.5791, TD = 0.6917
文件名: ./emb_a10b40.npy, TC = 0.4926, TD = 0.6667
文件名: ./emb_a55b50.npy, TC = 0.5684, TD = 0.7000
文件名: ./emb_a45b45.npy, TC = 0.5847, TD = 0.6880
文件名: ./emb_a95b75.npy, TC = 0.5803, TD = 0.6885
文件名: ./emb_a5b95.npy, TC = 0.4862, TD = 0.5346
文件名: ./emb_a40b45.npy, TC = 0.5827, TD = 0.6923
文件名: ./emb_a95b70.npy, TC = 0.5855, TD = 0.6720
文件名: ./emb_a20b10.npy, TC = 0.5788, TD = 0.6722
文件名: ./emb_a40b85.npy, TC = 0.5794, TD = 0.6840
文件名: ./emb_a75b60.npy, TC = 0.5675, TD = 0.6773
文件名: ./emb_a75b35.npy, TC = 0.5770, TD = 0.6731
文件名: ./emb_a5b90.npy, TC = 0.4843, TD = 0.4947
