文件名: ./emb_a40b15.npy, TC = 0.5999, TD = 0.6885
文件名: ./emb_a5b30.npy, TC = 0.4517, TD = 0.7000
文件名: ./emb_a40b50.npy, TC = 0.6056, TD = 0.7174
文件名: ./emb_a70b5.npy, TC = 0.5803, TD = 0.7037
文件名: ./emb_a60b45.npy, TC = 0.4502, TD = 0.7000
文件名: ./emb_a65b20.npy, TC = 0.5890, TD = 0.7000
文件名: ./emb_a40b10.npy, TC = 0.6014, TD = 0.7077
文件名: ./emb_a40b55.npy, TC = 0.5819, TD = 0.6731
文件名: ./emb_a5b10.npy, TC = 0.4760, TD = 0.7500
文件名: ./emb_a75b90.npy, TC = 0.5829, TD = 0.7043
文件名: ./emb_a45b5.npy, TC = 0.5874, TD = 0.6926
文件名: ./emb_a10b60.npy, TC = 0.5595, TD = 0.6615
文件名: ./emb_a80b70.npy, TC = 0.5808, TD = 0.6846
文件名: ./emb_a65b30.npy, TC = 0.5797, TD = 0.7192
文件名: ./emb_a25b70.npy, TC = 0.3934, TD = 1.0000
文件名: ./emb_a15b50.npy, TC = 0.5637, TD = 0.6714
文件名: ./emb_a75b15.npy, TC = 0.5788, TD = 0.6667
文件名: ./emb_a5b85.npy, TC = 0.5124, TD = 0.5652
文件名: ./emb_a80b35.npy, TC = 0.5368, TD = 0.7333
文件名: ./emb_a75b10.npy, TC = 0.5949, TD = 0.6852
文件名: ./emb_a35b20.npy, TC = 0.6122, TD = 0.7280
文件名: ./emb_a85b80.npy, TC = 0.5792, TD = 0.6885
文件名: ./emb_a70b50.npy, TC = 0.5820, TD = 0.6821
文件名: ./emb_a95b5.npy, TC = 0.4501, TD = 0.7000
文件名: ./emb_a35b70.npy, TC = 0.5954, TD = 0.6826
文件名: ./emb_a65b10.npy, TC = 0.4507, TD = 0.7000
文件名: ./emb_a60b15.npy, TC = 0.5938, TD = 0.7200
文件名: ./emb_a80b20.npy, TC = 0.4501, TD = 0.7000
文件名: ./emb_a40b90.npy, TC = 0.5615, TD = 0.6619
文件名: ./emb_a15b30.npy, TC = 0.5937, TD = 0.6529
