文件名: ./emb_a40b15.npy, TC = 0.5904, TD = 0.6923
文件名: ./emb_a5b30.npy, TC = 0.4374, TD = 0.7000
文件名: ./emb_a40b50.npy, TC = 0.5942, TD = 0.7087
文件名: ./emb_a70b5.npy, TC = 0.5750, TD = 0.7074
文件名: ./emb_a60b45.npy, TC = 0.4358, TD = 0.7000
文件名: ./emb_a65b20.npy, TC = 0.5782, TD = 0.6833
文件名: ./emb_a40b10.npy, TC = 0.5930, TD = 0.6923
文件名: ./emb_a40b55.npy, TC = 0.5802, TD = 0.6769
文件名: ./emb_a5b10.npy, TC = 0.4377, TD = 0.7000
文件名: ./emb_a75b90.npy, TC = 0.5773, TD = 0.6783
文件名: ./emb_a45b5.npy, TC = 0.5720, TD = 0.6741
文件名: ./emb_a10b60.npy, TC = 0.5589, TD = 0.6385
文件名: ./emb_a80b70.npy, TC = 0.5812, TD = 0.6577
文件名: ./emb_a65b30.npy, TC = 0.5712, TD = 0.7000
文件名: ./emb_a25b70.npy, TC = 0.3369, TD = 1.0000
文件名: ./emb_a15b50.npy, TC = 0.5508, TD = 0.6357
文件名: ./emb_a75b15.npy, TC = 0.5742, TD = 0.6519
文件名: ./emb_a5b85.npy, TC = 0.4890, TD = 0.5087
文件名: ./emb_a80b35.npy, TC = 0.5058, TD = 0.6667
文件名: ./emb_a75b10.npy, TC = 0.5812, TD = 0.6630
文件名: ./emb_a35b20.npy, TC = 0.5953, TD = 0.7120
文件名: ./emb_a85b80.npy, TC = 0.5752, TD = 0.6692
文件名: ./emb_a70b50.npy, TC = 0.5741, TD = 0.6750
文件名: ./emb_a95b5.npy, TC = 0.4349, TD = 0.7000
文件名: ./emb_a35b70.npy, TC = 0.5901, TD = 0.6913
文件名: ./emb_a65b10.npy, TC = 0.4362, TD = 0.7000
文件名: ./emb_a60b15.npy, TC = 0.5885, TD = 0.7040
文件名: ./emb_a80b20.npy, TC = 0.4351, TD = 0.7000
文件名: ./emb_a40b90.npy, TC = 0.5623, TD = 0.6524
文件名: ./emb_a15b30.npy, TC = 0.5885, TD = 0.6471
文件名: ./emb_a35b50.npy, TC = 0.5927, TD = 0.7130
文件名: ./emb_a95b60.npy, TC = 0.5731, TD = 0.6680
文件名: ./emb_a20b65.npy, TC = 0.4238, TD = 0.7000
文件名: ./emb_a70b65.npy, TC = 0.5798, TD = 0.6571
文件名: ./emb_a25b15.npy, TC = 0.5682, TD = 0.6800
文件名: ./emb_a45b25.npy, TC = 0.5738, TD = 0.6720
文件名: ./emb_a15b80.npy, TC = 0.5555, TD = 0.5478
文件名: ./emb_a50b15.npy, TC = 0.5872, TD = 0.6808
文件名: ./emb_a95b15.npy, TC = 0.5868, TD = 0.6783
文件名: ./emb_a80b80.npy, TC = 0.5705, TD = 0.6696
