文件名: ./emb_a40b15.npy, TC = 0.5956, TD = 0.6923
文件名: ./emb_a5b30.npy, TC = 0.4415, TD = 0.7000
文件名: ./emb_a40b50.npy, TC = 0.5949, TD = 0.6957
文件名: ./emb_a70b5.npy, TC = 0.5816, TD = 0.7111
文件名: ./emb_a60b45.npy, TC = 0.4394, TD = 0.7000
文件名: ./emb_a65b20.npy, TC = 0.5805, TD = 0.7042
文件名: ./emb_a40b10.npy, TC = 0.5911, TD = 0.6923
文件名: ./emb_a40b55.npy, TC = 0.5903, TD = 0.6654
文件名: ./emb_a5b10.npy, TC = 0.4412, TD = 0.7000
文件名: ./emb_a75b90.npy, TC = 0.5803, TD = 0.6739
文件名: ./emb_a45b5.npy, TC = 0.5824, TD = 0.6815
文件名: ./emb_a10b60.npy, TC = 0.5628, TD = 0.6385
文件名: ./emb_a80b70.npy, TC = 0.5881, TD = 0.6808
文件名: ./emb_a65b30.npy, TC = 0.5750, TD = 0.7038
文件名: ./emb_a25b70.npy, TC = 0.3691, TD = 1.0000
文件名: ./emb_a15b50.npy, TC = 0.5451, TD = 0.6286
文件名: ./emb_a75b15.npy, TC = 0.5848, TD = 0.6815
文件名: ./emb_a5b85.npy, TC = 0.5073, TD = 0.5304
文件名: ./emb_a80b35.npy, TC = 0.5089, TD = 0.6667
文件名: ./emb_a75b10.npy, TC = 0.5883, TD = 0.6741
文件名: ./emb_a35b20.npy, TC = 0.6014, TD = 0.7160
文件名: ./emb_a85b80.npy, TC = 0.5784, TD = 0.6808
文件名: ./emb_a70b50.npy, TC = 0.5860, TD = 0.6821
文件名: ./emb_a95b5.npy, TC = 0.4385, TD = 0.7000
文件名: ./emb_a35b70.npy, TC = 0.5929, TD = 0.6783
文件名: ./emb_a65b10.npy, TC = 0.4409, TD = 0.7000
文件名: ./emb_a60b15.npy, TC = 0.5874, TD = 0.7040
文件名: ./emb_a80b20.npy, TC = 0.4388, TD = 0.7000
文件名: ./emb_a40b90.npy, TC = 0.5665, TD = 0.6667
